Linux 6.10.14-linuxkit (28a7211d24d7) 	06/02/26 	_aarch64_	(10 CPU)

05:48:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:48:45     all   39.96    0.00    0.00    0.00    0.00    0.10    0.00    0.00    0.00   59.94
05:48:45       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:48:45       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:48:45       2  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:48:45       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:48:45       4    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
05:48:45       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:48:45       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:48:45       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:48:45       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:48:45       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:48:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:48:46     all   40.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   60.00
05:48:46       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:48:46       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:48:46       2  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:48:46       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:48:46       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:48:46       5    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
05:48:46       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:48:46       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:48:46       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:48:46       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:48:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:48:47     all   40.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   59.96
