case_name,repeats,mode,sync,merge,processes,threads,ipc,workers,trials,steps,workload,skew_factor,pre_work,post_work,avg_time_total,min_time_total,stdev_time_total,avg_time_pre,avg_time_compute,avg_time_sync,avg_time_ipc,avg_time_merge,avg_time_post,speedup_vs_seq_avg,efficiency_vs_seq_avg,avg_sequential_fraction,avg_throughput_batches_per_sec,avg_lock_wait_count,avg_cond_wait_count,avg_queue_push_count,avg_queue_pop_count,avg_ipc_read_count,avg_ipc_bytes,valid_all,checksum_count,matches_seq_checksum
hybrid_2x2,5,hybrid,reduce,final,2,2,pipe,4,1000000,50,skewed,8,50000,10000,0.060988,0.060802,0.000145,0.000083,0.000065,0.060747,0.000002,0.000000,0.000092,2.106,0.527,0.999,32.8,0.0,0.0,0.0,0.0,2.0,128.0,1,1,1
hybrid_2x4,5,hybrid,reduce,final,2,4,pipe,8,1000000,50,skewed,8,50000,10000,0.035894,0.034610,0.001394,0.000070,0.000060,0.035677,0.000002,0.000000,0.000085,3.579,0.447,0.998,55.8,0.0,0.0,0.0,0.0,2.0,128.0,1,1,1
hybrid_2x4_shm,5,hybrid,reduce,final,2,4,shm,8,1000000,50,skewed,8,50000,10000,0.035857,0.034908,0.000921,0.000070,0.000060,0.035641,0.000000,0.000000,0.000086,3.583,0.448,0.998,55.8,0.0,0.0,0.0,0.0,2.0,128.0,1,1,1
hybrid_4x2,5,hybrid,reduce,final,4,2,pipe,8,1000000,50,skewed,8,50000,10000,0.035298,0.034735,0.000746,0.000071,0.000134,0.035000,0.000004,0.000000,0.000090,3.640,0.455,0.996,113.4,0.0,0.0,0.0,0.0,4.0,256.0,1,1,1
pipeline_final_b1000,5,pipeline,reduce,final,2,4,pipe,4,1000000,50,skewed,8,50000,10000,0.036921,0.035746,0.001990,0.000078,0.036722,0.000105,0.000000,0.000003,0.000091,3.480,0.870,0.007,27144.2,2004.0,0.2,1000.0,1000.0,0.0,0.0,1,1,1
pipeline_interactive_b100,5,pipeline,reduce,interactive,2,4,pipe,4,1000000,50,skewed,8,50000,10000,0.070801,0.067330,0.002183,0.000138,0.070548,0.215867,0.000000,0.000747,0.000093,1.815,0.454,1.000,141351.3,40005.0,4564.6,20000.0,20000.0,0.0,0.0,1,1,1
pipeline_interactive_b1000,5,pipeline,reduce,interactive,2,4,pipe,4,1000000,50,skewed,8,50000,10000,0.037946,0.037712,0.000246,0.000085,0.037743,0.039414,0.000000,0.000060,0.000092,3.386,0.846,1.000,26354.1,4005.0,725.0,2000.0,2000.0,0.0,0.0,1,1,1
pipeline_interactive_b10000,5,pipeline,reduce,interactive,2,4,pipe,4,1000000,50,skewed,8,50000,10000,0.037288,0.036836,0.000522,0.000081,0.037103,0.037139,0.000000,0.000009,0.000089,3.445,0.861,0.999,2682.2,405.0,69.6,200.0,200.0,0.0,0.0,1,1,1
process_1_pipe,5,process,reduce,final,1,4,pipe,1,1000000,50,skewed,8,50000,10000,0.129650,0.126686,0.003324,0.000085,0.000054,0.129415,0.000004,0.000000,0.000092,0.991,0.991,1.000,7.7,0.0,0.0,0.0,0.0,1.0,64.0,1,1,1
process_1_shm,5,process,reduce,final,1,4,shm,1,1000000,50,skewed,8,50000,10000,0.128359,0.126287,0.003252,0.000068,0.000040,0.128159,0.000000,0.000000,0.000091,1.001,1.001,1.000,7.8,0.0,0.0,0.0,0.0,1.0,64.0,1,1,1
