case_name,repeat,mode,schedule,merge,sync,processes,threads,trials,steps,batch_size,queue_size,ipc,workload,skew_factor,pre_work,post_work,time_total,time_pre,time_compute,time_sync,time_ipc,time_merge,time_post,speedup,efficiency,sequential_fraction_estimate,compute_ratio,sync_overhead_ratio,ipc_overhead_ratio,merge_overhead_ratio,throughput_batches_per_sec,total_trials,collision_count,hist_sum,checksum,valid,lock_wait_count,cond_wait_count,queue_push_count,queue_pop_count,ipc_write_count,ipc_read_count,ipc_bytes,notes
seq,1,seq,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.129574,0.000087,0.129405,0.000000,0.000000,0.000000,0.000082,0.000000,0.000000,0.001306,0.998693,0.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_1_reduce,1,thread,static,final,reduce,2,1,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.127422,0.000068,0.127261,0.000000,0.000000,0.000000,0.000090,0.000000,0.000000,0.001241,0.998736,0.000000,0.000000,0.000002,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_2_reduce,1,thread,static,final,reduce,2,2,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.084477,0.000069,0.084312,0.000000,0.000000,0.000000,0.000093,0.000000,0.000000,0.001917,0.998042,0.000000,0.000000,0.000002,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_4_reduce,1,thread,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.060911,0.000068,0.060751,0.000000,0.000000,0.000000,0.000089,0.000000,0.000000,0.002574,0.997374,0.000000,0.000000,0.000004,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_8_reduce,1,thread,static,final,reduce,2,8,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.040635,0.000143,0.040395,0.000000,0.000000,0.000000,0.000093,0.000000,0.000000,0.005807,0.994085,0.000000,0.000000,0.000005,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_4_mutex,1,thread,static,final,mutex,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.229137,0.000074,0.228965,0.434611,0.000000,0.000000,0.000094,0.000000,0.000000,1.000000,0.999251,1.000000,0.000000,0.000001,0.000000,1000000,529280,1000000,1026622357111743000,1,1000000,0,0,0,0,0,0,ok
thread_4_nosync,1,thread,static,final,nosync,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.063055,0.000076,0.062886,0.000000,0.000000,0.000000,0.000089,0.000000,0.000000,0.002617,0.997330,0.000000,0.000000,0.000001,0.000000,421532,260995,602217,4570404212050587540,0,0,0,0,0,0,0,0,ok
process_1_pipe,1,process,static,final,reduce,1,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.128112,0.000071,0.000041,0.127911,0.000003,0.000000,0.000085,0.000000,0.000000,0.999678,0.000322,0.998436,0.000021,0.000000,7.805698,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok
process_1_shm,1,process,static,final,reduce,1,4,1000000,50,1000,1024,shm,skewed,8,50000,10000,0.126798,0.000068,0.000052,0.126572,0.000000,0.000000,0.000106,0.000000,0.000000,0.999591,0.000409,0.998216,0.000001,0.000000,7.886536,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok
process_2_pipe,1,process,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.081425,0.000070,0.000072,0.081198,0.000001,0.000000,0.000084,0.000000,0.000000,0.999114,0.000886,0.997211,0.000018,0.000002,24.562531,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
process_2_shm,1,process,static,final,reduce,2,4,1000000,50,1000,1024,shm,skewed,8,50000,10000,0.093535,0.000069,0.000057,0.093317,0.000000,0.000000,0.000092,0.000000,0.000000,0.999385,0.000615,0.997663,0.000002,0.000000,21.382275,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
process_4_pipe,1,process,static,final,reduce,4,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.067894,0.000076,0.000140,0.067579,0.000005,0.000000,0.000093,0.000000,0.000000,0.997943,0.002057,0.995366,0.000073,0.000004,58.915729,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok
process_4_shm,1,process,static,final,reduce,4,4,1000000,50,1000,1024,shm,skewed,8,50000,10000,0.063406,0.000076,0.000139,0.063100,0.000000,0.000000,0.000090,0.000000,0.000000,0.997801,0.002199,0.995167,0.000004,0.000002,63.085430,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok
