case_name,repeats,mode,sync,merge,processes,threads,ipc,workers,trials,steps,workload,skew_factor,pre_work,post_work,avg_time_total,min_time_total,stdev_time_total,avg_time_pre,avg_time_compute,avg_time_sync,avg_time_ipc,avg_time_merge,avg_time_post,speedup_vs_seq_avg,efficiency_vs_seq_avg,avg_sequential_fraction,avg_throughput_batches_per_sec,avg_lock_wait_count,avg_cond_wait_count,avg_queue_push_count,avg_queue_pop_count,avg_ipc_read_count,avg_ipc_bytes,valid_all,checksum_count,matches_seq_checksum
hybrid_2x2,5,hybrid,reduce,final,2,2,pipe,4,1000000,50,uniform,8,50000,10000,0.029482,0.026243,0.003292,0.000074,0.000074,0.029248,0.000002,0.000000,0.000084,3.209,0.802,0.997,68.5,0.0,0.0,0.0,0.0,2.0,128.0,1,1,1
hybrid_2x4,5,hybrid,reduce,final,2,4,pipe,8,1000000,50,uniform,8,50000,10000,0.022467,0.021510,0.000948,0.000079,0.000065,0.022230,0.000002,0.000000,0.000092,4.211,0.526,0.997,89.1,0.0,0.0,0.0,0.0,2.0,128.0,1,1,1
hybrid_2x4_shm,5,hybrid,reduce,final,2,4,shm,8,1000000,50,uniform,8,50000,10000,0.021997,0.019356,0.001956,0.000075,0.000068,0.021765,0.000000,0.000000,0.000088,4.301,0.538,0.997,91.5,0.0,0.0,0.0,0.0,2.0,128.0,1,1,1
hybrid_4x2,5,hybrid,reduce,final,4,2,pipe,8,1000000,50,uniform,8,50000,10000,0.023711,0.017809,0.005090,0.000080,0.000137,0.023397,0.000003,0.000000,0.000093,3.990,0.499,0.994,174.9,0.0,0.0,0.0,0.0,4.0,256.0,1,1,1
pipeline_final_b1000,5,pipeline,reduce,final,2,4,pipe,4,1000000,50,uniform,8,50000,10000,0.029459,0.026119,0.003917,0.000086,0.029091,0.000117,0.000000,0.000003,0.000086,3.211,0.803,0.010,34413.4,2004.0,0.0,1000.0,1000.0,0.0,0.0,1,1,1
pipeline_interactive_b100,5,pipeline,reduce,interactive,2,4,pipe,4,1000000,50,uniform,8,50000,10000,0.064609,0.056712,0.007155,0.000224,0.064253,0.209709,0.000000,0.000700,0.000101,1.464,0.366,1.000,156237.3,40005.0,4137.2,20000.0,20000.0,0.0,0.0,1,1,1
pipeline_interactive_b1000,5,pipeline,reduce,interactive,2,4,pipe,4,1000000,50,uniform,8,50000,10000,0.030199,0.027637,0.002829,0.000090,0.029978,0.031660,0.000000,0.000074,0.000089,3.133,0.783,1.000,33330.2,4005.0,658.0,2000.0,2000.0,0.0,0.0,1,1,1
pipeline_interactive_b10000,5,pipeline,reduce,interactive,2,4,pipe,4,1000000,50,uniform,8,50000,10000,0.028194,0.026360,0.002552,0.000075,0.028017,0.027992,0.000000,0.000008,0.000089,3.355,0.839,0.998,3568.6,405.0,70.0,200.0,200.0,0.0,0.0,1,1,1
process_1_pipe,5,process,reduce,final,1,4,pipe,1,1000000,50,uniform,8,50000,10000,0.099585,0.091352,0.007516,0.000078,0.000039,0.099382,0.000003,0.000000,0.000083,0.950,0.950,1.000,10.1,0.0,0.0,0.0,0.0,1.0,64.0,1,1,1
process_1_shm,5,process,reduce,final,1,4,shm,1,1000000,50,uniform,8,50000,10000,0.098223,0.091425,0.007907,0.000076,0.000051,0.098004,0.000000,0.000000,0.000092,0.963,0.963,0.999,10.2,0.0,0.0,0.0,0.0,1.0,64.0,1,1,1
