case_name,repeat,mode,schedule,merge,sync,processes,threads,trials,steps,batch_size,queue_size,ipc,workload,skew_factor,pre_work,post_work,time_total,time_pre,time_compute,time_sync,time_ipc,time_merge,time_post,speedup,efficiency,sequential_fraction_estimate,compute_ratio,sync_overhead_ratio,ipc_overhead_ratio,merge_overhead_ratio,throughput_batches_per_sec,total_trials,collision_count,hist_sum,checksum,valid,lock_wait_count,cond_wait_count,queue_push_count,queue_pop_count,ipc_write_count,ipc_read_count,ipc_bytes,notes
seq,1,seq,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.094505,0.000083,0.094344,0.000000,0.000000,0.000000,0.000079,0.000000,0.000000,0.001707,0.998292,0.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_1_reduce,1,thread,static,final,reduce,2,1,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.099350,0.000068,0.099186,0.000000,0.000000,0.000000,0.000093,0.000000,0.000000,0.001629,0.998342,0.000000,0.000000,0.000004,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_2_reduce,1,thread,static,final,reduce,2,2,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.047410,0.000068,0.047239,0.000000,0.000000,0.000000,0.000098,0.000000,0.000000,0.003504,0.996405,0.000000,0.000000,0.000003,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_4_reduce,1,thread,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.026444,0.000089,0.026255,0.000000,0.000000,0.000000,0.000096,0.000000,0.000000,0.007004,0.992865,0.000000,0.000000,0.000006,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_8_reduce,1,thread,static,final,reduce,2,8,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.020660,0.000089,0.020476,0.000000,0.000000,0.000000,0.000091,0.000000,0.000000,0.008721,0.991094,0.000000,0.000000,0.000008,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_4_mutex,1,thread,static,final,mutex,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.168816,0.000076,0.168636,0.344065,0.000000,0.000000,0.000097,0.000000,0.000000,1.000000,0.998933,1.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,1000000,0,0,0,0,0,0,ok
thread_4_nosync,1,thread,static,final,nosync,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.032550,0.000068,0.032388,0.000000,0.000000,0.000000,0.000089,0.000000,0.000000,0.004825,0.995013,0.000000,0.000000,0.000000,0.000000,369409,267260,613797,3215951947534679158,0,0,0,0,0,0,0,0,ok
process_1_pipe,1,process,static,final,reduce,1,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.102227,0.000076,0.000041,0.102025,0.000003,0.000000,0.000082,0.000000,0.000000,0.999599,0.000401,0.998028,0.000025,0.000000,9.782183,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok
process_1_shm,1,process,static,final,reduce,1,4,1000000,50,1000,1024,shm,uniform,8,50000,10000,0.094760,0.000068,0.000064,0.094541,0.000000,0.000000,0.000087,0.000000,0.000000,0.999323,0.000677,0.997681,0.000001,0.000000,10.552943,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok
process_2_pipe,1,process,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.063470,0.000068,0.000094,0.063224,0.000003,0.000000,0.000081,0.000000,0.000000,0.998524,0.001476,0.996135,0.000047,0.000001,31.511074,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
