case_name,repeats,mode,sync,merge,processes,threads,ipc,workers,trials,steps,workload,skew_factor,pre_work,post_work,profile,inner_work,avg_time_total,min_time_total,stdev_time_total,avg_time_pre,avg_time_compute,avg_time_sync,avg_time_ipc,avg_time_merge,avg_time_post,speedup_vs_seq_avg,efficiency_vs_seq_avg,avg_sequential_fraction,avg_throughput_batches_per_sec,avg_lock_wait_count,avg_cond_wait_count,avg_queue_push_count,avg_queue_pop_count,avg_ipc_read_count,avg_ipc_bytes,valid_all,checksum_count,matches_seq_checksum
hybrid_2x2,5,hybrid,reduce,final,2,2,pipe,4,1000000,50,uniform,8,50000000,10000000,default,0,0.191477,0.188389,0.003149,0.074643,0.000118,0.028446,0.000002,0.000000,0.088267,1.381,0.345,0.999,10.4,0.0,0.0,0.0,0.0,2.0,128.0,1,1,1
hybrid_2x4,5,hybrid,reduce,final,2,4,pipe,8,1000000,50,uniform,8,50000000,10000000,default,0,0.184322,0.183174,0.001087,0.074369,0.000109,0.021837,0.000002,0.000000,0.088004,1.435,0.179,0.999,10.9,0.0,0.0,0.0,0.0,2.0,128.0,1,1,1
hybrid_2x4_shm,5,hybrid,reduce,final,2,4,shm,8,1000000,50,uniform,8,50000000,10000000,default,0,0.185381,0.183630,0.001854,0.074712,0.000105,0.022439,0.000000,0.000000,0.088125,1.427,0.178,0.999,10.8,0.0,0.0,0.0,0.0,2.0,128.0,1,1,1
hybrid_4x2,5,hybrid,reduce,final,4,2,pipe,8,1000000,50,uniform,8,50000000,10000000,default,0,0.184602,0.181975,0.003078,0.074099,0.000183,0.022175,0.000003,0.000000,0.088141,1.433,0.179,0.999,21.7,0.0,0.0,0.0,0.0,4.0,256.0,1,1,1
pipeline_final_b1000,5,pipeline,reduce,final,2,4,pipe,4,1000000,50,uniform,8,50000000,10000000,default,0,0.189803,0.189251,0.000499,0.074674,0.026641,0.000072,0.000000,0.000004,0.088424,1.393,0.348,0.860,5268.6,2004.0,0.0,1000.0,1000.0,0.0,0.0,1,1,1
pipeline_interactive_b100,5,pipeline,reduce,interactive,2,4,pipe,4,1000000,50,uniform,8,50000000,10000000,default,0,0.226244,0.218441,0.005020,0.075251,0.061976,0.202011,0.000000,0.000724,0.088960,1.169,0.292,1.000,44217.7,40005.0,4006.0,20000.0,20000.0,0.0,0.0,1,1,1
pipeline_interactive_b1000,5,pipeline,reduce,interactive,2,4,pipe,4,1000000,50,uniform,8,50000000,10000000,default,0,0.192027,0.190765,0.000898,0.074869,0.028852,0.030990,0.000000,0.000091,0.088250,1.377,0.344,1.000,5207.7,4005.0,655.8,2000.0,2000.0,0.0,0.0,1,1,1
pipeline_interactive_b10000,5,pipeline,reduce,interactive,2,4,pipe,4,1000000,50,uniform,8,50000000,10000000,default,0,0.190279,0.189017,0.000828,0.074401,0.027564,0.027427,0.000000,0.000009,0.088284,1.390,0.347,0.999,525.6,405.0,91.4,200.0,200.0,0.0,0.0,1,1,1
process_1_pipe,5,process,reduce,final,1,4,pipe,1,1000000,50,uniform,8,50000000,10000000,default,0,0.264749,0.263119,0.001033,0.074342,0.000082,0.101564,0.000003,0.000000,0.088759,0.999,0.999,1.000,3.8,0.0,0.0,0.0,0.0,1.0,64.0,1,1,1
process_1_shm,5,process,reduce,final,1,4,shm,1,1000000,50,uniform,8,50000000,10000000,default,0,0.265113,0.264203,0.000907,0.074870,0.000077,0.101237,0.000000,0.000000,0.088929,0.998,0.998,1.000,3.8,0.0,0.0,0.0,0.0,1.0,64.0,1,1,1
