case_name,repeat,mode,schedule,merge,sync,processes,threads,trials,steps,batch_size,queue_size,ipc,workload,skew_factor,pre_work,post_work,time_total,time_pre,time_compute,time_sync,time_ipc,time_merge,time_post,speedup,efficiency,sequential_fraction_estimate,compute_ratio,sync_overhead_ratio,ipc_overhead_ratio,merge_overhead_ratio,throughput_batches_per_sec,total_trials,collision_count,hist_sum,checksum,valid,lock_wait_count,cond_wait_count,queue_push_count,queue_pop_count,ipc_write_count,ipc_read_count,ipc_bytes,notes,profile,inner_work
seq,1,seq,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.266735,0.074139,0.103298,0.000000,0.000000,0.000000,0.089298,0.000000,0.000000,0.612732,0.387267,0.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_1_reduce,1,thread,static,final,reduce,2,1,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.264361,0.074380,0.101759,0.000000,0.000000,0.000000,0.088217,0.000000,0.000000,0.615060,0.384927,0.000000,0.000000,0.000001,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_2_reduce,1,thread,static,final,reduce,2,2,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.213537,0.074344,0.051620,0.000000,0.000000,0.000000,0.087569,0.000000,0.000000,0.758241,0.241739,0.000000,0.000000,0.000001,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_4_reduce,1,thread,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.188589,0.073671,0.026845,0.000000,0.000000,0.000000,0.088069,0.000000,0.000000,0.857632,0.142347,0.000000,0.000000,0.000001,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_8_reduce,1,thread,static,final,reduce,2,8,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.182788,0.074103,0.020746,0.000000,0.000000,0.000000,0.087935,0.000000,0.000000,0.886487,0.113496,0.000000,0.000000,0.000001,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_4_mutex,1,thread,static,final,mutex,2,4,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.342227,0.073631,0.181001,0.373349,0.000000,0.000000,0.087591,0.000000,0.000000,1.000000,0.528892,1.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,1000000,0,0,0,0,0,0,ok,default,0
thread_4_nosync,1,thread,static,final,nosync,2,4,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.192332,0.075164,0.029838,0.000000,0.000000,0.000000,0.087325,0.000000,0.000000,0.844839,0.155139,0.000000,0.000000,0.000000,0.000000,337958,252878,593255,18138811225290654835,0,0,0,0,0,0,0,0,ok,default,0
process_1_pipe,1,process,static,final,reduce,1,4,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.263119,0.073925,0.000078,0.100942,0.000002,0.000000,0.088172,0.000000,0.000000,0.999704,0.000296,0.383636,0.000007,0.000000,3.800558,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok,default,0
process_1_shm,1,process,static,final,reduce,1,4,1000000,50,1000,1024,shm,uniform,8,50000000,10000000,0.266288,0.073774,0.000048,0.101287,0.000000,0.000000,0.091180,0.000000,0.000000,0.999821,0.000179,0.380367,0.000000,0.000000,3.755327,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok,default,0
process_2_pipe,1,process,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.214511,0.074900,0.000111,0.052012,0.000002,0.000000,0.087487,0.000000,0.000000,0.999484,0.000516,0.242467,0.000011,0.000000,9.323519,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
process_2_shm,1,process,static,final,reduce,2,4,1000000,50,1000,1024,shm,uniform,8,50000000,10000000,0.212926,0.073725,0.000087,0.051234,0.000000,0.000000,0.087879,0.000000,0.000000,0.999590,0.000410,0.240619,0.000001,0.000000,9.392935,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
process_4_pipe,1,process,static,final,reduce,4,4,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.191416,0.074186,0.000189,0.027718,0.000003,0.000000,0.089320,0.000000,0.000000,0.999014,0.000986,0.144804,0.000014,0.000001,20.896867,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok,default,0
process_4_shm,1,process,static,final,reduce,4,4,1000000,50,1000,1024,shm,uniform,8,50000000,10000000,0.187579,0.072647,0.000175,0.026712,0.000000,0.000000,0.088045,0.000000,0.000000,0.999070,0.000930,0.142403,0.000001,0.000000,21.324363,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok,default,0
hybrid_2x2,1,hybrid,static,final,reduce,2,2,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.188389,0.073591,0.000118,0.026978,0.000002,0.000000,0.087700,0.000000,0.000000,0.999372,0.000628,0.143202,0.000010,0.000000,10.616329,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
hybrid_2x4,1,hybrid,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.183174,0.074456,0.000092,0.021141,0.000001,0.000000,0.087483,0.000000,0.000000,0.999496,0.000504,0.115415,0.000008,0.000000,10.918573,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
hybrid_4x2,1,hybrid,static,final,reduce,4,2,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.181975,0.073323,0.000170,0.020440,0.000003,0.000000,0.088039,0.000000,0.000000,0.999068,0.000932,0.112321,0.000017,0.000001,21.981056,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok,default,0
