threads,repeat,work_iters,time_total,cpu_percent
1,1,4000000000,20.608698135,99
1,2,4000000000,20.400473634,99
1,3,4000000000,20.302421134,99
1,4,4000000000,20.668197052,99
1,5,4000000000,20.436543842,99
2,1,4000000000,10.813603380,199
2,2,4000000000,10.871708464,199
2,3,4000000000,12.172832089,199
2,4,4000000000,11.287456088,199
2,5,4000000000,11.104322296,199
4,1,4000000000,5.895499669,399
4,2,4000000000,5.801866544,398
4,3,4000000000,6.160217669,399
4,4,4000000000,5.784926378,399
4,5,4000000000,6.068768878,399
8,1,4000000000,6.552652461,787
8,2,4000000000,4.165913418,790
8,3,4000000000,4.008751669,786
8,4,4000000000,4.059026751,793
8,5,4000000000,3.880757210,791
