case_name,repeats,mode,sync,merge,processes,threads,ipc,workers,trials,steps,workload,skew_factor,pre_work,post_work,profile,inner_work,avg_time_total,min_time_total,stdev_time_total,avg_time_pre,avg_time_compute,avg_time_sync,avg_time_ipc,avg_time_merge,avg_time_post,speedup_vs_seq_avg,efficiency_vs_seq_avg,avg_sequential_fraction,avg_throughput_batches_per_sec,avg_lock_wait_count,avg_cond_wait_count,avg_queue_push_count,avg_queue_pop_count,avg_ipc_read_count,avg_ipc_bytes,valid_all,checksum_count,matches_seq_checksum
hybrid_2x2,5,hybrid,reduce,final,2,2,pipe,4,1000000,50,skewed,8,50000,10000,default,0,0.061596,0.060707,0.000616,0.000071,0.000066,0.061373,0.000002,0.000000,0.000085,2.178,0.545,0.999,32.5,0.0,0.0,0.0,0.0,2.0,128.0,1,1,1
hybrid_2x4,5,hybrid,reduce,final,2,4,pipe,8,1000000,50,skewed,8,50000,10000,default,0,0.036836,0.035821,0.001126,0.000074,0.000073,0.036600,0.000002,0.000000,0.000088,3.643,0.455,0.998,54.3,0.0,0.0,0.0,0.0,2.0,128.0,1,1,1
hybrid_2x4_shm,5,hybrid,reduce,final,2,4,shm,8,1000000,50,skewed,8,50000,10000,default,0,0.038164,0.036880,0.001609,0.000070,0.000063,0.037945,0.000000,0.000000,0.000085,3.516,0.439,0.998,52.5,0.0,0.0,0.0,0.0,2.0,128.0,1,1,1
hybrid_4x2,5,hybrid,reduce,final,4,2,pipe,8,1000000,50,skewed,8,50000,10000,default,0,0.037912,0.035504,0.002026,0.000073,0.000163,0.037589,0.000002,0.000000,0.000083,3.539,0.442,0.996,105.7,0.0,0.0,0.0,0.0,4.0,256.0,1,1,1
pipeline_final_b1000,5,pipeline,reduce,final,2,4,pipe,4,1000000,50,skewed,8,50000,10000,default,0,0.036475,0.036043,0.000870,0.000084,0.036265,0.000067,0.000000,0.000004,0.000085,3.679,0.920,0.007,27428.3,2004.0,0.0,1000.0,1000.0,0.0,0.0,1,1,1
pipeline_interactive_b100,5,pipeline,reduce,interactive,2,4,pipe,4,1000000,50,skewed,8,50000,10000,default,0,0.077190,0.068794,0.013177,0.000167,0.076886,0.224489,0.000000,0.000630,0.000093,1.738,0.435,1.000,132117.8,40005.0,4137.4,20000.0,20000.0,0.0,0.0,1,1,1
pipeline_interactive_b1000,5,pipeline,reduce,interactive,2,4,pipe,4,1000000,50,skewed,8,50000,10000,default,0,0.038620,0.037624,0.001660,0.000080,0.038407,0.039965,0.000000,0.000084,0.000094,3.474,0.869,1.000,25929.7,4005.0,711.2,2000.0,2000.0,0.0,0.0,1,1,1
pipeline_interactive_b10000,5,pipeline,reduce,interactive,2,4,pipe,4,1000000,50,skewed,8,50000,10000,default,0,0.040092,0.037481,0.003723,0.000084,0.039896,0.039755,0.000000,0.000021,0.000087,3.347,0.837,0.996,2509.9,405.0,83.2,200.0,200.0,0.0,0.0,1,1,1
process_1_pipe,5,process,reduce,final,1,4,pipe,1,1000000,50,skewed,8,50000,10000,default,0,0.135904,0.131048,0.006169,0.000160,0.000080,0.135573,0.000003,0.000000,0.000088,0.987,0.987,0.999,7.4,0.0,0.0,0.0,0.0,1.0,64.0,1,1,1
process_1_shm,5,process,reduce,final,1,4,shm,1,1000000,50,skewed,8,50000,10000,default,0,0.133305,0.130077,0.003170,0.000079,0.000049,0.133089,0.000000,0.000000,0.000087,1.007,1.007,1.000,7.5,0.0,0.0,0.0,0.0,1.0,64.0,1,1,1
process_2_pipe,5,process,reduce,final,2,4,pipe,2,1000000,50,skewed,8,50000,10000,default,0,0.084688,0.083253,0.001123,0.000074,0.000070,0.084452,0.000003,0.000000,0.000089,1.584,0.792,0.999,23.6,0.0,0.0,0.0,0.0,2.0,128.0,1,1,1
process_2_shm,5,process,reduce,final,2,4,shm,2,1000000,50,skewed,8,50000,10000,default,0,0.088948,0.083805,0.005466,0.000068,0.000073,0.088718,0.000000,0.000000,0.000089,1.509,0.754,0.999,22.6,0.0,0.0,0.0,0.0,2.0,128.0,1,1,1
process_4_pipe,5,process,reduce,final,4,4,pipe,4,1000000,50,skewed,8,50000,10000,default,0,0.062704,0.060871,0.001631,0.000070,0.000132,0.062413,0.000004,0.000000,0.000085,2.140,0.535,0.998,63.8,0.0,0.0,0.0,0.0,4.0,256.0,1,1,1
process_4_shm,5,process,reduce,final,4,4,shm,4,1000000,50,skewed,8,50000,10000,default,0,0.062480,0.060943,0.001380,0.000074,0.000138,0.062182,0.000000,0.000000,0.000087,2.148,0.537,0.998,64.0,0.0,0.0,0.0,0.0,4.0,256.0,1,1,1
seq,5,seq,reduce,final,2,4,pipe,1,1000000,50,skewed,8,50000,10000,default,0,0.134184,0.131736,0.003359,0.000080,0.134024,0.000000,0.000000,0.000000,0.000080,1.000,1.000,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
