case_name,repeat,mode,schedule,merge,sync,processes,threads,trials,steps,batch_size,queue_size,ipc,workload,skew_factor,pre_work,post_work,time_total,time_pre,time_compute,time_sync,time_ipc,time_merge,time_post,speedup,efficiency,sequential_fraction_estimate,compute_ratio,sync_overhead_ratio,ipc_overhead_ratio,merge_overhead_ratio,throughput_batches_per_sec,total_trials,collision_count,hist_sum,checksum,valid,lock_wait_count,cond_wait_count,queue_push_count,queue_pop_count,ipc_write_count,ipc_read_count,ipc_bytes,notes,profile,inner_work
seq,1,seq,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.140093,0.000076,0.139937,0.000000,0.000000,0.000000,0.000080,0.000000,0.000000,0.001113,0.998885,0.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_1_reduce,1,thread,static,final,reduce,2,1,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.133079,0.000076,0.132903,0.000000,0.000000,0.000000,0.000095,0.000000,0.000000,0.001292,0.998679,0.000000,0.000000,0.000001,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_2_reduce,1,thread,static,final,reduce,2,2,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.084064,0.000068,0.083899,0.000000,0.000000,0.000000,0.000089,0.000000,0.000000,0.001868,0.998043,0.000000,0.000000,0.000002,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_4_reduce,1,thread,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.060676,0.000068,0.060513,0.000000,0.000000,0.000000,0.000088,0.000000,0.000000,0.002574,0.997321,0.000000,0.000000,0.000003,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_8_reduce,1,thread,static,final,reduce,2,8,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.035534,0.000080,0.035350,0.000000,0.000000,0.000000,0.000092,0.000000,0.000000,0.004851,0.994839,0.000000,0.000000,0.000006,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_4_mutex,1,thread,static,final,mutex,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.191577,0.000070,0.191411,0.331905,0.000000,0.000000,0.000092,0.000000,0.000000,1.000000,0.999132,1.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,1000000,0,0,0,0,0,0,ok,default,0
thread_4_nosync,1,thread,static,final,nosync,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.061810,0.000068,0.061650,0.000000,0.000000,0.000000,0.000088,0.000000,0.000000,0.002531,0.997422,0.000000,0.000000,0.000000,0.000000,704326,428217,845077,5694881337070684558,0,0,0,0,0,0,0,0,ok,default,0
process_1_pipe,1,process,static,final,reduce,1,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.131048,0.000069,0.000041,0.130845,0.000003,0.000000,0.000090,0.000000,0.000000,0.999685,0.000315,0.998448,0.000024,0.000000,7.630777,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok,default,0
process_1_shm,1,process,static,final,reduce,1,4,1000000,50,1000,1024,shm,skewed,8,50000,10000,0.130077,0.000070,0.000055,0.129863,0.000000,0.000000,0.000088,0.000000,0.000000,0.999580,0.000420,0.998359,0.000001,0.000000,7.687781,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok,default,0
process_2_pipe,1,process,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.083253,0.000068,0.000062,0.083034,0.000002,0.000000,0.000087,0.000000,0.000000,0.999254,0.000746,0.997362,0.000026,0.000001,24.023062,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
