case_name,repeats,mode,sync,merge,processes,threads,ipc,workers,trials,steps,workload,skew_factor,pre_work,post_work,profile,inner_work,avg_time_total,min_time_total,stdev_time_total,avg_time_pre,avg_time_compute,avg_time_sync,avg_time_ipc,avg_time_merge,avg_time_post,speedup_vs_seq_avg,efficiency_vs_seq_avg,avg_sequential_fraction,avg_throughput_batches_per_sec,avg_lock_wait_count,avg_cond_wait_count,avg_queue_push_count,avg_queue_pop_count,avg_ipc_read_count,avg_ipc_bytes,valid_all,checksum_count,matches_seq_checksum
hybrid_2x2,5,hybrid,reduce,final,2,2,pipe,4,1000000,50,uniform,8,50000,10000,default,0,0.027633,0.026761,0.000978,0.000073,0.000073,0.027396,0.000002,0.000000,0.000089,3.659,0.915,0.997,72.4,0.0,0.0,0.0,0.0,2.0,128.0,1,1,1
hybrid_2x4,5,hybrid,reduce,final,2,4,pipe,8,1000000,50,uniform,8,50000,10000,default,0,0.023059,0.021026,0.002852,0.000076,0.000063,0.022828,0.000002,0.000000,0.000089,4.384,0.548,0.997,87.7,0.0,0.0,0.0,0.0,2.0,128.0,1,1,1
hybrid_2x4_shm,5,hybrid,reduce,final,2,4,shm,8,1000000,50,uniform,8,50000,10000,default,0,0.023758,0.021755,0.002009,0.000071,0.000066,0.023532,0.000000,0.000000,0.000089,4.255,0.532,0.997,84.7,0.0,0.0,0.0,0.0,2.0,128.0,1,1,1
hybrid_4x2,5,hybrid,reduce,final,4,2,pipe,8,1000000,50,uniform,8,50000,10000,default,0,0.021365,0.019798,0.001585,0.000070,0.000125,0.021083,0.000003,0.000000,0.000083,4.732,0.592,0.994,188.0,0.0,0.0,0.0,0.0,4.0,256.0,1,1,1
pipeline_final_b1000,5,pipeline,reduce,final,2,4,pipe,4,1000000,50,uniform,8,50000,10000,default,0,0.027910,0.026318,0.001168,0.000088,0.027700,0.000102,0.000000,0.000003,0.000086,3.622,0.906,0.010,35880.1,2004.0,0.0,1000.0,1000.0,0.0,0.0,1,1,1
pipeline_interactive_b100,5,pipeline,reduce,interactive,2,4,pipe,4,1000000,50,uniform,8,50000,10000,default,0,0.058727,0.056534,0.001664,0.000145,0.058468,0.188532,0.000000,0.000630,0.000090,1.722,0.430,1.000,170390.8,40005.0,3878.4,20000.0,20000.0,0.0,0.0,1,1,1
pipeline_interactive_b1000,5,pipeline,reduce,interactive,2,4,pipe,4,1000000,50,uniform,8,50000,10000,default,0,0.030614,0.027953,0.003502,0.000085,0.030404,0.031916,0.000000,0.000098,0.000096,3.302,0.826,1.000,32970.3,4005.0,637.2,2000.0,2000.0,0.0,0.0,1,1,1
pipeline_interactive_b10000,5,pipeline,reduce,interactive,2,4,pipe,4,1000000,50,uniform,8,50000,10000,default,0,0.027753,0.026624,0.001603,0.000075,0.027568,0.027514,0.000000,0.000009,0.000094,3.643,0.911,0.997,3612.3,405.0,83.2,200.0,200.0,0.0,0.0,1,1,1
process_1_pipe,5,process,reduce,final,1,4,pipe,1,1000000,50,uniform,8,50000,10000,default,0,0.099576,0.096289,0.006680,0.000077,0.000039,0.099369,0.000002,0.000000,0.000087,1.015,1.015,1.000,10.1,0.0,0.0,0.0,0.0,1.0,64.0,1,1,1
process_1_shm,5,process,reduce,final,1,4,shm,1,1000000,50,uniform,8,50000,10000,default,0,0.098136,0.095587,0.001890,0.000072,0.000047,0.097925,0.000000,0.000000,0.000093,1.030,1.030,1.000,10.2,0.0,0.0,0.0,0.0,1.0,64.0,1,1,1
process_2_pipe,5,process,reduce,final,2,4,pipe,2,1000000,50,uniform,8,50000,10000,default,0,0.049936,0.048729,0.001844,0.000072,0.000076,0.049698,0.000002,0.000000,0.000088,2.025,1.012,0.998,40.1,0.0,0.0,0.0,0.0,2.0,128.0,1,1,1
process_2_shm,5,process,reduce,final,2,4,shm,2,1000000,50,uniform,8,50000,10000,default,0,0.049580,0.048512,0.001145,0.000070,0.000074,0.049345,0.000000,0.000000,0.000092,2.039,1.020,0.999,40.4,0.0,0.0,0.0,0.0,2.0,128.0,1,1,1
process_4_pipe,5,process,reduce,final,4,4,pipe,4,1000000,50,uniform,8,50000,10000,default,0,0.038436,0.026363,0.024501,0.000076,0.000131,0.038123,0.000003,0.000000,0.000103,2.630,0.658,0.996,126.3,0.0,0.0,0.0,0.0,4.0,256.0,1,1,1
process_4_shm,5,process,reduce,final,4,4,shm,4,1000000,50,uniform,8,50000,10000,default,0,0.027071,0.026528,0.000533,0.000070,0.000125,0.026782,0.000000,0.000000,0.000094,3.735,0.934,0.995,147.8,0.0,0.0,0.0,0.0,4.0,256.0,1,1,1
seq,5,seq,reduce,final,2,4,pipe,1,1000000,50,uniform,8,50000,10000,default,0,0.101099,0.095760,0.010620,0.000081,0.100929,0.000000,0.000000,0.000000,0.000089,1.000,1.000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
thread_1_reduce,5,thread,reduce,final,2,1,pipe,1,1000000,50,uniform,8,50000,10000,default,0,0.096661,0.094564,0.001500,0.000070,0.096494,0.000000,0.000000,0.000000,0.000093,1.046,1.046,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
thread_2_reduce,5,thread,reduce,final,2,2,pipe,2,1000000,50,uniform,8,50000,10000,default,0,0.049611,0.048801,0.000924,0.000078,0.049437,0.000000,0.000000,0.000000,0.000093,2.038,1.019,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
thread_4_mutex,5,thread,mutex,final,2,4,pipe,4,1000000,50,uniform,8,50000,10000,default,0,0.180098,0.174483,0.008369,0.000074,0.179923,0.374057,0.000000,0.000000,0.000098,0.561,0.140,1.000,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1,1,1
thread_4_nosync,5,thread,nosync,final,2,4,pipe,4,1000000,50,uniform,8,50000,10000,default,0,0.050858,0.027552,0.047690,0.000076,0.050684,0.000000,0.000000,0.000000,0.000094,1.988,0.497,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0
thread_4_reduce,5,thread,reduce,final,2,4,pipe,4,1000000,50,uniform,8,50000,10000,default,0,0.028196,0.026394,0.002157,0.000071,0.028025,0.000000,0.000000,0.000000,0.000096,3.586,0.896,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
