case_name,repeat,mode,schedule,merge,sync,processes,threads,trials,steps,batch_size,queue_size,ipc,workload,skew_factor,pre_work,post_work,time_total,time_pre,time_compute,time_sync,time_ipc,time_merge,time_post,speedup,efficiency,sequential_fraction_estimate,compute_ratio,sync_overhead_ratio,ipc_overhead_ratio,merge_overhead_ratio,throughput_batches_per_sec,total_trials,collision_count,hist_sum,checksum,valid,lock_wait_count,cond_wait_count,queue_push_count,queue_pop_count,ipc_write_count,ipc_read_count,ipc_bytes,notes,profile,inner_work
seq,1,seq,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.095760,0.000076,0.095597,0.000000,0.000000,0.000000,0.000087,0.000000,0.000000,0.001704,0.998294,0.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_1_reduce,1,thread,static,final,reduce,2,1,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.098150,0.000073,0.097977,0.000000,0.000000,0.000000,0.000097,0.000000,0.000000,0.001732,0.998239,0.000000,0.000000,0.000003,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_2_reduce,1,thread,static,final,reduce,2,2,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.051182,0.000068,0.051017,0.000000,0.000000,0.000000,0.000093,0.000000,0.000000,0.003148,0.996779,0.000000,0.000000,0.000004,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_4_reduce,1,thread,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.030319,0.000076,0.030140,0.000000,0.000000,0.000000,0.000099,0.000000,0.000000,0.005779,0.994096,0.000000,0.000000,0.000007,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_8_reduce,1,thread,static,final,reduce,2,8,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.028096,0.000076,0.027924,0.000000,0.000000,0.000000,0.000091,0.000000,0.000000,0.005965,0.993853,0.000000,0.000000,0.000007,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_4_mutex,1,thread,static,final,mutex,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.180985,0.000076,0.180798,0.369449,0.000000,0.000000,0.000107,0.000000,0.000000,1.000000,0.998965,1.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,1000000,0,0,0,0,0,0,ok,default,0
thread_4_nosync,1,thread,static,final,nosync,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.029976,0.000076,0.029801,0.000000,0.000000,0.000000,0.000094,0.000000,0.000000,0.005692,0.994173,0.000000,0.000000,0.000006,0.000000,571088,390027,824107,5727953204520795232,0,0,0,0,0,0,0,0,ok,default,0
process_1_pipe,1,process,static,final,reduce,1,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.097015,0.000068,0.000036,0.096825,0.000002,0.000000,0.000083,0.000000,0.000000,0.999631,0.000369,0.998045,0.000024,0.000000,10.307711,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok,default,0
process_1_shm,1,process,static,final,reduce,1,4,1000000,50,1000,1024,shm,uniform,8,50000,10000,0.097642,0.000068,0.000043,0.097431,0.000000,0.000000,0.000099,0.000000,0.000000,0.999561,0.000439,0.997843,0.000002,0.000002,10.241543,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok,default,0
process_2_pipe,1,process,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.048899,0.000068,0.000065,0.048662,0.000002,0.000000,0.000101,0.000000,0.000000,0.998664,0.001336,0.995158,0.000045,0.000002,40.900597,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
