case_name,repeat,mode,schedule,merge,sync,processes,threads,trials,steps,batch_size,queue_size,ipc,workload,skew_factor,pre_work,post_work,time_total,time_pre,time_compute,time_sync,time_ipc,time_merge,time_post,speedup,efficiency,sequential_fraction_estimate,compute_ratio,sync_overhead_ratio,ipc_overhead_ratio,merge_overhead_ratio,throughput_batches_per_sec,total_trials,collision_count,hist_sum,checksum,valid,lock_wait_count,cond_wait_count,queue_push_count,queue_pop_count,ipc_write_count,ipc_read_count,ipc_bytes,notes,profile,inner_work
seq,1,seq,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,0,0,0.138185,0.000000,0.138184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.999996,0.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
hybrid_2x2_nosync_shm,1,hybrid,static,final,nosync,2,2,1000000,50,1000,1024,shm,uniform,8,0,0,0.037129,0.000000,0.037062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000020,0.998194,0.000000,0.000008,0.000002,53.865887,905410,501737,966723,16786991648437584360,0,0,0,0,0,0,2,128,ok,default,0
hybrid_2x2_mutex_shm,1,hybrid,static,final,mutex,2,2,1000000,50,1000,1024,shm,uniform,8,0,0,0.060484,0.000000,0.060464,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.999682,0.000000,0.000002,0.000001,33.066869,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
hybrid_2x2_reduce_shm,1,hybrid,static,final,reduce,2,2,1000000,50,1000,1024,shm,uniform,8,0,0,0.028472,0.000000,0.028452,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000019,0.999284,0.000000,0.000006,0.000000,70.244451,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
thread_2_nosync,1,thread,static,final,nosync,2,2,1000000,50,1000,1024,pipe,uniform,8,0,0,0.050444,0.000000,0.050438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.999882,0.000000,0.000000,0.000001,0.000000,894477,487380,947164,16480100381654530421,0,0,0,0,0,0,0,0,ok,default,0
thread_2_mutex,1,thread,static,final,mutex,2,2,1000000,50,1000,1024,pipe,uniform,8,0,0,0.181320,0.000000,0.181315,0.114428,0.000000,0.000000,0.000000,0.000000,0.000000,0.631083,0.999969,0.631079,0.000000,0.000001,0.000000,1000000,529280,1000000,1026622357111743000,1,1000000,0,0,0,0,0,0,ok,default,0
thread_2_reduce,1,thread,static,final,reduce,2,2,1000000,50,1000,1024,pipe,uniform,8,0,0,0.050251,0.000000,0.050244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,0.999862,0.000000,0.000000,0.000005,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
seq,2,seq,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,0,0,0.102654,0.000000,0.102654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.999996,0.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
hybrid_2x2_nosync_shm,2,hybrid,static,final,nosync,2,2,1000000,50,1000,1024,shm,uniform,8,0,0,0.030499,0.000000,0.030470,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000034,0.999055,0.000000,0.000003,0.000007,65.575921,893346,487096,947583,7895573529534077629,0,0,0,0,0,0,2,128,ok,default,0
hybrid_2x2_mutex_shm,2,hybrid,static,final,mutex,2,2,1000000,50,1000,1024,shm,uniform,8,0,0,0.051660,0.000000,0.051643,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.999681,0.000000,0.000003,0.000002,38.714892,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
