case_name,repeat,mode,schedule,merge,sync,processes,threads,trials,steps,batch_size,queue_size,ipc,workload,skew_factor,pre_work,post_work,time_total,time_pre,time_compute,time_sync,time_ipc,time_merge,time_post,speedup,efficiency,sequential_fraction_estimate,compute_ratio,sync_overhead_ratio,ipc_overhead_ratio,merge_overhead_ratio,throughput_batches_per_sec,total_trials,collision_count,hist_sum,checksum,valid,lock_wait_count,cond_wait_count,queue_push_count,queue_pop_count,ipc_write_count,ipc_read_count,ipc_bytes,notes,profile,inner_work
seq_process_friendly,1,seq,static,final,reduce,2,4,100000,50,1000,1024,pipe,uniform,8,0,0,0.889081,0.000000,0.889080,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,100000,52836,100000,14056519412120161236,1,0,0,0,0,0,0,0,ok,process_friendly,2000
process_1_shm_process_friendly,1,process,static,final,reduce,1,4,100000,50,1000,1024,shm,uniform,8,0,0,0.864090,0.000000,0.864078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999986,0.000000,0.000000,0.000000,1.157286,100000,52836,100000,14056519412120161236,1,0,0,0,0,0,1,64,ok,process_friendly,2000
process_1_pipe_process_friendly,1,process,static,final,reduce,1,4,100000,50,1000,1024,pipe,uniform,8,0,0,0.863556,0.000000,0.863541,0.000000,0.000005,0.000000,0.000000,0.000000,0.000000,0.000006,0.999982,0.000000,0.000006,0.000000,1.158002,100000,52836,100000,14056519412120161236,1,0,0,0,0,0,1,64,ok,process_friendly,2000
process_2_shm_process_friendly,1,process,static,final,reduce,2,4,100000,50,1000,1024,shm,uniform,8,0,0,0.444362,0.000000,0.444340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.999951,0.000000,0.000000,0.000000,4.500837,100000,52836,100000,14056519412120161236,1,0,0,0,0,0,2,128,ok,process_friendly,2000
process_2_pipe_process_friendly,1,process,static,final,reduce,2,4,100000,50,1000,1024,pipe,uniform,8,0,0,0.435105,0.000000,0.435071,0.000000,0.000003,0.000000,0.000000,0.000000,0.000000,0.000008,0.999922,0.000000,0.000008,0.000000,4.596590,100000,52836,100000,14056519412120161236,1,0,0,0,0,0,2,128,ok,process_friendly,2000
process_4_shm_process_friendly,1,process,static,final,reduce,4,4,100000,50,1000,1024,shm,uniform,8,0,0,0.235412,0.000000,0.235398,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.999940,0.000000,0.000001,0.000001,16.991490,100000,52836,100000,14056519412120161236,1,0,0,0,0,0,4,256,ok,process_friendly,2000
process_4_pipe_process_friendly,1,process,static,final,reduce,4,4,100000,50,1000,1024,pipe,uniform,8,0,0,0.235633,0.000000,0.235617,0.000000,0.000003,0.000000,0.000000,0.000000,0.000000,0.000017,0.999933,0.000000,0.000014,0.000001,16.975533,100000,52836,100000,14056519412120161236,1,0,0,0,0,0,4,256,ok,process_friendly,2000
thread_4_reduce_process_friendly,1,thread,static,final,reduce,2,4,100000,50,1000,1024,pipe,uniform,8,0,0,0.244448,0.000000,0.244442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.999979,0.000000,0.000000,0.000001,0.000000,100000,52836,100000,14056519412120161236,1,0,0,0,0,0,0,0,ok,process_friendly,2000
seq_thread_friendly,1,seq,static,final,reduce,2,4,100000,50,1000,1024,pipe,uniform,8,0,0,0.034139,0.000000,0.034139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000006,0.999989,0.000000,0.000000,0.000000,0.000000,100000,52836,100000,14056519412120161236,1,0,0,0,0,0,0,0,ok,thread_friendly,64
thread_1_reduce_thread_friendly,1,thread,static,final,reduce,2,1,100000,50,1000,1024,pipe,uniform,8,0,0,0.034513,0.000000,0.034509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000014,0.999884,0.000000,0.000000,0.000007,0.000000,100000,52836,100000,14056519412120161236,1,0,0,0,0,0,0,0,ok,thread_friendly,64
