case_name,profile,mode,processes,threads,ipc,workers,repeats,avg_time_total,min_time_total,stdev_time_total,speedup_vs_profile_seq,efficiency,valid_all,checksum_match,inner_work
hybrid_2x2_process_friendly,process_friendly,hybrid,2,2,shm,4,5,0.242081,0.233250,0.006623,3.561,0.890,1,1,2000
hybrid_2x4_process_friendly,process_friendly,hybrid,2,4,shm,8,5,0.151806,0.148302,0.003538,5.678,0.710,1,1,2000
hybrid_4x2_process_friendly,process_friendly,hybrid,4,2,shm,8,5,0.157944,0.147538,0.017981,5.458,0.682,1,1,2000
process_1_pipe_process_friendly,process_friendly,process,1,4,pipe,1,5,0.856076,0.843957,0.012019,1.007,1.007,1,1,2000
process_1_shm_process_friendly,process_friendly,process,1,4,shm,1,5,0.858985,0.845790,0.009037,1.004,1.004,1,1,2000
process_2_pipe_process_friendly,process_friendly,process,2,4,pipe,2,5,0.432085,0.421553,0.006729,1.995,0.997,1,1,2000
process_2_shm_process_friendly,process_friendly,process,2,4,shm,2,5,0.440442,0.434267,0.004119,1.957,0.979,1,1,2000
process_4_pipe_process_friendly,process_friendly,process,4,4,pipe,4,5,0.240688,0.235569,0.009080,3.581,0.895,1,1,2000
process_4_shm_process_friendly,process_friendly,process,4,4,shm,4,5,0.240402,0.233181,0.008490,3.586,0.896,1,1,2000
process_4_shm_thread_friendly,thread_friendly,process,4,4,shm,4,5,0.010435,0.009274,0.001148,3.236,0.809,1,1,64
seq_process_friendly,process_friendly,seq,2,4,pipe,1,5,0.861999,0.848154,0.016530,1.000,1.000,1,1,2000
seq_thread_friendly,thread_friendly,seq,2,4,pipe,1,5,0.033770,0.032819,0.000548,1.000,1.000,1,1,64
thread_1_reduce_thread_friendly,thread_friendly,thread,2,1,pipe,1,5,0.033380,0.032675,0.000780,1.012,1.012,1,1,64
thread_2_reduce_thread_friendly,thread_friendly,thread,2,2,pipe,2,5,0.017501,0.016855,0.000476,1.930,0.965,1,1,64
thread_4_reduce_process_friendly,process_friendly,thread,2,4,pipe,4,5,0.241238,0.236372,0.003026,3.573,0.893,1,1,2000
thread_4_reduce_thread_friendly,thread_friendly,thread,2,4,pipe,4,5,0.009842,0.009173,0.000440,3.431,0.858,1,1,64
thread_8_reduce_thread_friendly,thread_friendly,thread,2,8,pipe,8,5,0.007721,0.007018,0.000689,4.374,0.547,1,1,64
