case_name,mode,workers,processes,threads,repeat,trials,steps,time_total,cpu_percent,valid,checksum
seq,seq,1,1,1,1,120000000,50,11.464009,99,1,10938743413492098894
thread_1_reduce,thread,1,1,1,1,120000000,50,11.340857,99,1,10938743413492098894
thread_2_reduce,thread,2,1,2,1,120000000,50,5.841753,199,1,10938743413492098894
thread_4_reduce,thread,4,1,4,1,120000000,50,3.249498,399,1,10938743413492098894
thread_8_reduce,thread,8,1,8,1,120000000,50,2.356744,772,1,10938743413492098894
process_1_shm,process,1,1,1,1,120000000,50,11.723626,99,1,10938743413492098894
process_2_shm,process,2,2,1,1,120000000,50,6.045958,199,1,10938743413492098894
process_4_shm,process,4,4,1,1,120000000,50,3.224945,398,1,10938743413492098894
hybrid_2x2_shm,hybrid,4,2,2,1,120000000,50,3.198807,399,1,10938743413492098894
hybrid_2x4_shm,hybrid,8,2,4,1,120000000,50,2.404705,753,1,10938743413492098894
pipeline_1_final,pipeline,1,1,1,1,120000000,50,12.142458,99,1,10938743413492098894
pipeline_2_final,pipeline,2,1,2,1,120000000,50,6.231349,199,1,10938743413492098894
pipeline_4_final,pipeline,4,1,4,1,120000000,50,3.183868,399,1,10938743413492098894
pipeline_8_final,pipeline,8,1,8,1,120000000,50,2.109417,798,1,10938743413492098894
seq,seq,1,1,1,2,120000000,50,12.178945,99,1,10938743413492098894
thread_1_reduce,thread,1,1,1,2,120000000,50,12.132131,99,1,10938743413492098894
thread_2_reduce,thread,2,1,2,2,120000000,50,6.218912,199,1,10938743413492098894
thread_4_reduce,thread,4,1,4,2,120000000,50,3.227236,399,1,10938743413492098894
thread_8_reduce,thread,8,1,8,2,120000000,50,2.397939,767,1,10938743413492098894
process_1_shm,process,1,1,1,2,120000000,50,12.228246,99,1,10938743413492098894
process_2_shm,process,2,2,1,2,120000000,50,6.329117,199,1,10938743413492098894
process_4_shm,process,4,4,1,2,120000000,50,3.223605,398,1,10938743413492098894
hybrid_2x2_shm,hybrid,4,2,2,2,120000000,50,3.200220,399,1,10938743413492098894
hybrid_2x4_shm,hybrid,8,2,4,2,120000000,50,2.406128,750,1,10938743413492098894
pipeline_1_final,pipeline,1,1,1,2,120000000,50,12.337020,99,1,10938743413492098894
pipeline_2_final,pipeline,2,1,2,2,120000000,50,6.249975,199,1,10938743413492098894
pipeline_4_final,pipeline,4,1,4,2,120000000,50,3.239782,399,1,10938743413492098894
pipeline_8_final,pipeline,8,1,8,2,120000000,50,2.231094,798,1,10938743413492098894
seq,seq,1,1,1,3,120000000,50,12.308435,99,1,10938743413492098894
thread_1_reduce,thread,1,1,1,3,120000000,50,12.350718,99,1,10938743413492098894
thread_2_reduce,thread,2,1,2,3,120000000,50,6.268231,199,1,10938743413492098894
thread_4_reduce,thread,4,1,4,3,120000000,50,3.230050,398,1,10938743413492098894
thread_8_reduce,thread,8,1,8,3,120000000,50,2.348466,775,1,10938743413492098894
process_1_shm,process,1,1,1,3,120000000,50,12.326700,99,1,10938743413492098894
process_2_shm,process,2,2,1,3,120000000,50,6.251553,199,1,10938743413492098894
process_4_shm,process,4,4,1,3,120000000,50,3.204650,398,1,10938743413492098894
hybrid_2x2_shm,hybrid,4,2,2,3,120000000,50,3.251825,398,1,10938743413492098894
hybrid_2x4_shm,hybrid,8,2,4,3,120000000,50,2.512372,754,1,10938743413492098894
pipeline_1_final,pipeline,1,1,1,3,120000000,50,12.467469,99,1,10938743413492098894
pipeline_2_final,pipeline,2,1,2,3,120000000,50,6.252654,199,1,10938743413492098894
pipeline_4_final,pipeline,4,1,4,3,120000000,50,3.245853,399,1,10938743413492098894
pipeline_8_final,pipeline,8,1,8,3,120000000,50,2.163794,797,1,10938743413492098894
seq,seq,1,1,1,4,120000000,50,12.328445,99,1,10938743413492098894
thread_1_reduce,thread,1,1,1,4,120000000,50,12.294582,99,1,10938743413492098894
thread_2_reduce,thread,2,1,2,4,120000000,50,6.218588,199,1,10938743413492098894
thread_4_reduce,thread,4,1,4,4,120000000,50,3.216546,399,1,10938743413492098894
thread_8_reduce,thread,8,1,8,4,120000000,50,2.461616,757,1,10938743413492098894
process_1_shm,process,1,1,1,4,120000000,50,12.439916,99,1,10938743413492098894
process_2_shm,process,2,2,1,4,120000000,50,6.235239,199,1,10938743413492098894
process_4_shm,process,4,4,1,4,120000000,50,3.215341,398,1,10938743413492098894
hybrid_2x2_shm,hybrid,4,2,2,4,120000000,50,3.260430,397,1,10938743413492098894
