case_name,mode,workers,repeats,avg_time,median_time,min_time,stdev_time,ideal_time,speedup,efficiency,avg_cpu_percent,avg_util_per_worker,valid_all,checksum_count
hybrid_2x2_shm,hybrid,4,5,3.222452,3.200977,3.198807,0.030902,3.027839,3.758,0.940,398.2,99.5,1,1
hybrid_2x4_shm,hybrid,8,5,2.431263,2.409252,2.404705,0.045976,1.513919,4.982,0.623,751.2,93.9,1,1
pipeline_1_final,pipeline,1,5,12.305745,12.301419,12.142458,0.116682,12.111355,0.984,0.984,99.0,99.0,1,1
pipeline_2_final,pipeline,2,5,6.244723,6.249975,6.209906,0.026014,6.055678,1.939,0.970,199.0,99.5,1,1
pipeline_4_final,pipeline,4,5,3.275105,3.239782,3.183868,0.136912,3.027839,3.698,0.925,399.0,99.8,1,1
pipeline_8_final,pipeline,8,5,2.176725,2.163794,2.109417,0.058370,1.513919,5.564,0.696,797.6,99.7,1,1
process_1_shm,process,1,5,12.192262,12.242822,11.723626,0.275171,12.111355,0.993,0.993,99.0,99.0,1,1
process_2_shm,process,2,5,6.214572,6.235239,6.045958,0.104114,6.055678,1.949,0.974,199.0,99.5,1,1
process_4_shm,process,4,5,3.222208,3.223605,3.204650,0.013935,3.027839,3.759,0.940,398.2,99.5,1,1
seq,seq,1,5,12.111355,12.276942,11.464009,0.366406,12.111355,1.000,1.000,99.0,99.0,1,1
thread_1_reduce,thread,1,5,12.083962,12.294582,11.340857,0.423491,12.111355,1.002,1.002,99.0,99.0,1,1
thread_2_reduce,thread,2,5,6.147725,6.218588,5.841753,0.173288,6.055678,1.970,0.985,199.0,99.5,1,1
thread_4_reduce,thread,4,5,3.235839,3.230050,3.216546,0.016335,3.027839,3.743,0.936,398.8,99.7,1,1
thread_8_reduce,thread,8,5,2.389809,2.384281,2.348466,0.044876,1.513919,5.068,0.633,765.8,95.7,1,1
