Linux 6.10.14-linuxkit (95201e5fd500) 	06/06/26 	_aarch64_	(10 CPU)

00:25:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:25:40     all   41.11    0.00    0.30    0.00    0.00    0.40    0.00    0.00    0.00   58.19
00:25:40       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:40       1   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99
00:25:40       2  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:40       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:40       4    1.96    0.00    0.98    0.00    0.00    1.96    0.00    0.00    0.00   95.10
00:25:40       5    0.99    0.00    0.00    0.00    0.00    1.98    0.00    0.00    0.00   97.03
00:25:40       6    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
00:25:40       7    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
00:25:40       8    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
00:25:40       9    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00

00:25:40     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:25:41     all   39.39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   60.61
00:25:41       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:41       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:41       2  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:41       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:41       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:41       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:41       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:41       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:41       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:41       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

00:25:41     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:25:42     all   39.98    0.00    0.10    0.00    0.00    0.10    0.00    0.00    0.00   59.82
00:25:42       0   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:42       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:42       2  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:42       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:42       4    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
00:25:42       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:42       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:42       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:42       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:42       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
