Linux 6.10.14-linuxkit (95201e5fd500) 	06/06/26 	_aarch64_	(10 CPU)

00:25:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:25:43     all   40.76    0.00    0.10    0.00    0.00    0.30    0.00    0.00    0.00   58.84
00:25:43       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:43       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:43       2  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:43       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:43       4    0.00    0.00    0.00    0.00    0.00    1.02    0.00    0.00    0.00   98.98
00:25:43       5    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
00:25:43       6    1.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   98.00
00:25:43       7    0.99    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   97.03
00:25:43       8    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
00:25:43       9    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99

00:25:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:25:44     all   39.82    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   60.08
00:25:44       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:44       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:44       2  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:44       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:44       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:44       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:44       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:44       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:44       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:44       9    0.00    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   99.02

00:25:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:25:45     all   39.92    0.00    0.00    0.00    0.00    0.30    0.00    0.00    0.00   59.78
00:25:45       0   99.01    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00
00:25:45       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:45       2  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:45       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:45       4    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
00:25:45       5    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
00:25:45       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:45       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:45       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:45       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
