Linux 6.10.14-linuxkit (95201e5fd500) 	06/06/26 	_aarch64_	(10 CPU)

00:25:36     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:25:37     all   40.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   59.94
00:25:37       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:37       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:37       2  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:37       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:37       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:37       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:37       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:37       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:37       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:37       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

00:25:37     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:25:38     all   40.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   59.90
00:25:38       0   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:38       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:38       2  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:38       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:38       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:38       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:38       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:38       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:38       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:38       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

00:25:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:25:39     all   40.16    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   59.74
00:25:39       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:39       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:39       2  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:39       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:39       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:39       5    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
00:25:39       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:39       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:39       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:39       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
