Linux 6.10.14-linuxkit (95201e5fd500) 	06/06/26 	_aarch64_	(10 CPU)

00:25:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:25:33     all   40.32    0.00    0.00    0.00    0.00    0.10    0.00    0.00    0.00   59.58
00:25:33       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:33       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:33       2  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:33       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:33       4    0.98    0.00    0.00    0.00    0.00    0.98    0.00    0.00    0.00   98.04
00:25:33       5    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
00:25:33       6    0.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.02
00:25:33       7    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
00:25:33       8    0.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.02
00:25:33       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

00:25:33     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:25:34     all   40.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   59.96
00:25:34       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:34       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:34       2  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:34       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:34       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:34       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:34       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:34       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:34       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:34       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

00:25:34     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:25:35     all   40.16    0.00    0.00    0.00    0.00    0.10    0.00    0.00    0.00   59.74
00:25:35       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:35       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:35       2  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:35       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
00:25:35       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:35       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:35       6    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
00:25:35       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:35       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:25:35       9    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
